No;Game Name;Game protocol;Supported since;Verified;By;INTERNATIONAL_ID;FTN_ID
444;Huawei Software;FreeTrack20;V160;;;20660;01BCC3A77483ECD51A5800
398;HueSpace;FreeTrack20;V160;;;20510;018E1F9EA3BD09C1799400
197;Hyper Vision;FreeTrack20;V160;;;15101;00C5B1A1FC35FE0E556200
243;iamfootball;FreeTrack20;V160;;;1250;00F3ACA7A917365CD94600
425;id Research;FreeTrack20;V170;;;2950;0B86E723B873D7FC87D700
233;IESA;FreeTrack20;V160;;;20037;00E9BC95612083AE32CA00
1;IL-2 Forgotten Battles, ACE, Pacific Fighters;FreeTrack20;V160;;;1001;0001EA2DFC82DBE9745800
471;IL-2 Sturmovik: Battle of Stalingrad;FreeTrack20;V170;;;1008;03F04D5368D1FD2DF2AE00
246;Illumina;FreeTrack20;V160;;;1350;00F6D6B0442BAC92E26900
326;ILP;FreeTrack20;V160;;;20310;0146936EC3C613E83EF500
222;Imagine 3D ATC Tower Simulation;FreeTrack20;V160;;;20032;00DE8EDDB7DB62781E2300
